signal_id,vendor_id,vendor_name,date,source_type,source_name,url,text,provenance,risk_category,sentiment,maturity,classifier_confidence,is_about_vendor,classifier_reason,service,country,ubs_link,ubs_link_source,relationship_note,data_sensitivity,business_criticality,substitutability,dependency_index,credibility,maturity_weight,freshness,corroboration,n_sources,evidence_strength,likelihood,impact,inherent_risk,control_reduction,n_positive,residual_risk,maturity_cap,link_cap,tier,needs_human_review,tier_before_caps,explanation
I0094,V003,LSEG,2025-01-04,audit_finding,audit_finding,,Control review of the LSEG engagement found MFA not enforced for administrator accounts on the shared environment.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Audit finding confirms lack of MFA enforcement for administrator accounts in a shared environment, indicating a cybersecurity risk.",Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,0.95,1.0,0.409,0.0,1,0.78,2.27,5.0,11.35,0.048,2,10.81,False,False,High,True,High,"HIGH (10.8/25, L2.3 x I5.0); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 626d old (freshness 0.41); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); data sensitivity 3/5; 2 positive signal(s) cut risk by 5%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms lack of MFA enforcement for administrator accounts in a shared environment, indicating a cybersecurity risk."
I0172,V010,CrowdStrike Holdings,2026-03-28,audit_finding,audit_finding,,"Access recertification for CrowdStrike Holdings was overdue, with dormant privileged accounts still active on the engagement.",ILLUSTRATIVE,COMPLIANCE,risk,confirmed,1.0,True,"Audit finding indicates overdue access recertification and active dormant privileged accounts, which are compliance violations and security risks.",Endpoint security,USA,INDUSTRY,,Endpoint security vendor widely used in financial services. No UBS relationship claimed.,5,5,2,0.933,0.95,1.0,0.756,0.0,1,0.782,3.37,3.25,10.95,0.022,1,10.71,False,False,High,True,High,"HIGH (10.7/25, L3.4 x I3.2); COMPLIANCE signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 178d old (freshness 0.76); UBS link: industry (Endpoint security vendor widely used in financial services. No UBS relationship claimed); data sensitivity 5/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding indicates overdue access recertification and active dormant privileged accounts, which are compliance violations and security risks."
I0189,V011,Progress Software,2026-03-14,audit_finding,audit_finding,,Review of systems in scope for Progress Software identified unpatched end-of-life software on internet-facing hosts.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Unpatched end-of-life software on internet-facing hosts indicates a cybersecurity vulnerability, confirmed by an audit finding.",Managed file transfer,USA,INDUSTRY,,"MOVEit file transfer, widely embedded in financial supply chains. No UBS relationship claimed.",5,3,3,0.733,0.95,1.0,0.74,0.0,1,0.78,3.31,3.25,10.76,0.017,1,10.58,False,False,High,True,High,"HIGH (10.6/25, L3.3 x I3.2); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 192d old (freshness 0.74); UBS link: industry (MOVEit file transfer, widely embedded in financial supply chains. No UBS relationship claimed); data sensitivity 5/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a cybersecurity vulnerability, confirmed by an audit finding."
R0061,V012,Infosys,2025-03-20,regulatory_filing,Class action settlement,https://www.tipranks.com/news/the-fly/list-of-victims-breached-in-moveit-hack-keeps-climbing-bank-info-security-says,Infosys McCamish Systems agreed to a USD 17.5 million settlement to resolve six class action lawsuits filed in connection with the November 2023 ransomware attack on Infosys McCamish.,REAL,CYBER,risk,confirmed,1.0,True,Class action settlement related to a ransomware attack indicates confirmed cybersecurity risk exposure.,IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3,4,0.6,1.0,1.0,0.449,0.5,2,0.9,2.61,4.04,10.54,0.0,0,10.54,False,False,High,True,High,"HIGH (10.5/25, L2.6 x I4.0); CYBER signal, confirmed, from regulatory filing (credibility 1.00); 2 independent kind(s) of source in 365d; 551d old (freshness 0.45); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; classifier: Class action settlement related to a ransomware attack indicates confirmed cybersecurity risk exposure."
I0159,V008,ION Group,2025-12-23,audit_finding,audit_finding,,Review of systems in scope for ION Group identified unpatched end-of-life software on internet-facing hosts.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Unpatched end-of-life software on internet-facing hosts indicates a known vulnerability with potential for exploitation, confirming a cybersecurity risk.",Trading & derivatives software,UK,INDUSTRY,,Major trading-software provider to banks. No UBS relationship claimed.,4,5,1,0.933,0.95,1.0,0.656,0.0,1,0.78,3.05,3.41,10.4,0.021,1,10.18,False,False,High,True,High,"HIGH (10.2/25, L3.0 x I3.4); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 273d old (freshness 0.66); UBS link: industry (Major trading-software provider to banks. No UBS relationship claimed); data sensitivity 4/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a known vulnerability with potential for exploitation, confirming a cybersecurity risk."
I0079,V001,Chain IQ Group AG,2025-12-27,incident_ticket,incident_ticket,,Chain IQ Group AG reported degraded performance and a growing backlog in overnight batch processing on the managed service.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,"Degraded performance and growing backlog in overnight batch processing indicate operational inefficiencies or failures, which pose a risk to service delivery.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.85,1.0,0.66,0.0,1,0.744,2.97,3.5,10.4,0.025,1,10.14,False,False,High,True,High,"HIGH (10.1/25, L3.0 x I3.5); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 269d old (freshness 0.66); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); hard to replace (substitutability 2/5); 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Degraded performance and growing backlog in overnight batch processing indicate operational inefficiencies or failures, which pose a risk to service delivery."
I0146,V007,SIX Group,2026-03-25,audit_finding,audit_finding,,Internal review found SIX Group has no tested disaster recovery plan for the service provided under this engagement; the last failover test failed.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,Internal audit finding confirms a critical operational risk: lack of tested disaster recovery plan and failed failover test for the vendor's service.,Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3,2,0.667,0.95,1.0,0.753,0.0,1,0.78,3.35,3.25,10.89,0.085,2,9.96,False,False,Medium,False,Medium,"MEDIUM (10.0/25, L3.4 x I3.2); OPERATIONAL signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 181d old (freshness 0.75); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); hard to replace (substitutability 2/5); 2 positive signal(s) cut risk by 8%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Internal audit finding confirms a critical operational risk: lack of tested disaster recovery plan and failed failover test for the vendor's service."
I0152,V007,SIX Group,2025-07-16,audit_finding,audit_finding,,Review notes vendor lock-in at SIX Group: proprietary data formats create high switching cost on exit.,ILLUSTRATIVE,CONCENTRATION,risk,confirmed,0.98,True,"Proprietary data formats and high switching costs indicate vendor lock-in, a concentration risk due to lack of alternatives or portability.",Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3,2,0.667,0.95,1.0,0.524,0.0,1,0.78,2.63,3.75,9.86,0.0,0,9.86,False,False,Medium,False,Medium,"MEDIUM (9.9/25, L2.6 x I3.8); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 433d old (freshness 0.52); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Proprietary data formats and high switching costs indicate vendor lock-in, a concentration risk due to lack of alternatives or portability."
I0158,V008,ION Group,2025-11-21,audit_finding,audit_finding,,Control review of the ION Group engagement found MFA not enforced for administrator accounts on the shared environment.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Audit finding confirms lack of MFA enforcement for admin accounts on shared environment, indicating a cybersecurity risk.",Trading & derivatives software,UK,INDUSTRY,,Major trading-software provider to banks. No UBS relationship claimed.,4,5,1,0.933,0.95,1.0,0.626,0.0,1,0.78,2.95,3.41,10.06,0.021,1,9.85,False,False,Medium,False,Medium,"MEDIUM (9.8/25, L3.0 x I3.4); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 305d old (freshness 0.63); UBS link: industry (Major trading-software provider to banks. No UBS relationship claimed); data sensitivity 4/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms lack of MFA enforcement for admin accounts on shared environment, indicating a cybersecurity risk."
I0116,V004,Broadridge Financial Solutions,2025-04-21,audit_finding,audit_finding,,"Broadridge Financial Solutions delivers the engagement from a single data centre, creating geographic concentration risk.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,0.98,True,"Single data centre delivery introduces geographic concentration risk, confirmed by audit findings.",Wealth platform & post-trade,USA,CONFIRMED,https://www.broadridge.com/press-release/2018/broadridge-and-ubs-americas-to-redefine-wm-technology,UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo.,5,4,2,0.867,0.95,1.0,0.467,0.0,1,0.78,2.46,4.0,9.84,0.0,0,9.84,False,False,Medium,False,Medium,"MEDIUM (9.8/25, L2.5 x I4.0); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 519d old (freshness 0.47); UBS link: confirmed (UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Single data centre delivery introduces geographic concentration risk, confirmed by audit findings."
R0039,V001,Chain IQ Group AG,2025-06-19,news_article,INCIBE-CERT,https://www.incibe.es/en/incibe-cert/publications/cybersecurity-highlights/chain-iq-data-breach-affects-major-banks-and-companies-switzerland,"The Chain IQ Group AG breach affected UBS, Pictet, Swiss Life, AXA, FedEx, IBM and Swisscom through a single vendor compromise, illustrating concentration risk in shared procurement providers.",REAL,CONCENTRATION,risk,confirmed,1.0,True,Breach affecting multiple major clients through a single vendor compromise highlights concentration risk in shared procurement providers.,Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,1.0,0.505,0.0,1,0.712,2.44,4.0,9.76,0.0,0,9.76,False,False,Medium,False,Medium,"MEDIUM (9.8/25, L2.4 x I4.0); CONCENTRATION signal, confirmed, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 460d old (freshness 0.51); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); hard to replace (substitutability 2/5); classifier: Breach affecting multiple major clients through a single vendor compromise highlights concentration risk in shared procurement providers."
I0119,V005,Cognizant Technology Solutions,2026-04-22,audit_finding,audit_finding,,"Access recertification for Cognizant Technology Solutions was overdue, with dormant privileged accounts still active on the engagement.",ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,"Audit finding confirms overdue access recertification and active dormant privileged accounts, indicating operational control weaknesses.",IT & business process outsourcing,USA,CONFIRMED,https://news.cognizant.com/newsannouncements?item=20231,Acquired UBS India Service Centre in 2009; UBS later insourced and exited.,4,3,4,0.6,0.95,1.0,0.786,0.5,2,0.88,3.76,2.75,10.34,0.088,2,9.43,False,False,Medium,False,Medium,"MEDIUM (9.4/25, L3.8 x I2.8); OPERATIONAL signal, confirmed, from audit finding (credibility 0.95); 2 independent kind(s) of source in 365d; 153d old (freshness 0.79); UBS link: confirmed (Acquired UBS India Service Centre in 2009; UBS later insourced and exited); 2 positive signal(s) cut risk by 9%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms overdue access recertification and active dormant privileged accounts, indicating operational control weaknesses."
I0108,V004,Broadridge Financial Solutions,2025-10-08,incident_ticket,incident_ticket,,Service review with Broadridge Financial Solutions logged a major outage of 6h20m affecting the shared platform; downtime breached the contractual SLA for the third time this quarter.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,Major outage breaching SLA multiple times indicates operational reliability issues.,Wealth platform & post-trade,USA,CONFIRMED,https://www.broadridge.com/press-release/2018/broadridge-and-ubs-americas-to-redefine-wm-technology,UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo.,5,4,2,0.867,0.85,1.0,0.588,0.0,1,0.744,2.75,3.5,9.62,0.04,2,9.24,False,False,Medium,False,Medium,"MEDIUM (9.2/25, L2.8 x I3.5); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 349d old (freshness 0.59); UBS link: confirmed (UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo); hard to replace (substitutability 2/5); 2 positive signal(s) cut risk by 4%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Major outage breaching SLA multiple times indicates operational reliability issues."
I0156,V008,ION Group,2026-01-27,audit_finding,audit_finding,,"Assessment records ION Group as the sole source for this service line, with no viable alternative provider identified.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"The finding explicitly states ION Group is the sole source for the service line with no viable alternative provider, indicating a critical concentration risk.",Trading & derivatives software,UK,INDUSTRY,,Major trading-software provider to banks. No UBS relationship claimed.,4,5,1,0.933,0.95,1.0,0.691,0.0,1,0.782,3.16,2.92,9.23,0.0,0,9.23,False,False,Medium,False,Medium,"MEDIUM (9.2/25, L3.2 x I2.9); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 238d old (freshness 0.69); UBS link: industry (Major trading-software provider to banks. No UBS relationship claimed); hard to replace (substitutability 1/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: The finding explicitly states ION Group is the sole source for the service line with no viable alternative provider, indicating a critical concentration risk."
I0178,V010,CrowdStrike Holdings,2025-12-16,audit_finding,audit_finding,,"Assessment records CrowdStrike Holdings as the sole source for this service line, with no viable alternative provider identified.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"Explicitly identified as the sole source with no viable alternative provider, indicating high concentration risk.",Endpoint security,USA,INDUSTRY,,Endpoint security vendor widely used in financial services. No UBS relationship claimed.,5,5,2,0.933,0.95,1.0,0.649,0.5,2,0.882,3.29,2.76,9.08,0.0,0,9.08,False,False,Medium,False,Medium,"MEDIUM (9.1/25, L3.3 x I2.8); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 2 independent kind(s) of source in 365d; 280d old (freshness 0.65); UBS link: industry (Endpoint security vendor widely used in financial services. No UBS relationship claimed); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Explicitly identified as the sole source with no viable alternative provider, indicating high concentration risk."
I0121,V005,Cognizant Technology Solutions,2026-02-12,incident_ticket,incident_ticket,,Cognizant Technology Solutions reported degraded performance and a growing backlog in overnight batch processing on the managed service.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,Degraded performance and growing backlog in managed service operations indicate operational risk and potential service delivery issues.,IT & business process outsourcing,USA,CONFIRMED,https://news.cognizant.com/newsannouncements?item=20231,Acquired UBS India Service Centre in 2009; UBS later insourced and exited.,4,3,4,0.6,0.85,1.0,0.708,0.5,2,0.844,3.39,2.75,9.32,0.088,2,8.5,False,False,Medium,False,Medium,"MEDIUM (8.5/25, L3.4 x I2.8); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 222d old (freshness 0.71); UBS link: confirmed (Acquired UBS India Service Centre in 2009; UBS later insourced and exited); 2 positive signal(s) cut risk by 9%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Degraded performance and growing backlog in managed service operations indicate operational risk and potential service delivery issues."
I0201,V012,Infosys,2025-08-21,audit_finding,audit_finding,,"Access recertification for Infosys was overdue, with dormant privileged accounts still active on the engagement.",ILLUSTRATIVE,COMPLIANCE,risk,confirmed,0.98,True,"Audit finding confirms overdue access recertification and active dormant privileged accounts, indicating a compliance risk related to security controls and access management.",IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3,4,0.6,0.95,1.0,0.55,0.0,1,0.78,2.71,3.61,9.78,0.134,3,8.47,False,False,Medium,False,Medium,"MEDIUM (8.5/25, L2.7 x I3.6); COMPLIANCE signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 397d old (freshness 0.55); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; 3 positive signal(s) cut risk by 13%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms overdue access recertification and active dormant privileged accounts, indicating a compliance risk related to security controls and access management."
R0050,V009,Capita plc,2025-10-15,regulatory_filing,ICO enforcement,https://measuredcollective.com/ico-enforcement-in-2025-record-fines-and-what-they-mean/,Capita plc received the Information Commissioner's Office's largest ever settlement at GBP 14 million. The original proposed fine of GBP 45 million against Capita was reduced for settling early and not appealing.,REAL,COMPLIANCE,risk,confirmed,1.0,True,ICO enforcement action with significant financial penalty indicates regulatory non-compliance and heightened risk exposure.,Business process outsourcing,UK,INDUSTRY,,Large UK outsourcer serving financial services. No UBS relationship claimed.,5,3,3,0.733,1.0,1.0,0.594,0.5,2,0.9,3.14,2.92,9.17,0.094,2,8.31,False,False,Medium,False,Medium,"MEDIUM (8.3/25, L3.1 x I2.9); COMPLIANCE signal, confirmed, from regulatory filing (credibility 1.00); 2 independent kind(s) of source in 365d; 342d old (freshness 0.59); UBS link: industry (Large UK outsourcer serving financial services. No UBS relationship claimed); data sensitivity 5/5; 2 positive signal(s) cut risk by 9%; classifier: ICO enforcement action with significant financial penalty indicates regulatory non-compliance and heightened risk exposure."
I0210,V015,Equifax Inc.,2026-02-24,vendor_questionnaire,vendor_questionnaire,,Equifax Inc. has not yet returned the annual attestation for the current reporting period.,ILLUSTRATIVE,COMPLIANCE,risk,corroborated,1.0,True,"Failure to return an annual attestation indicates non-compliance with contractual or regulatory reporting requirements, posing a compliance risk.",Credit data & analytics,USA,INDUSTRY,,Credit bureau supplying data to financial institutions. No UBS relationship claimed.,5,4,2,0.867,0.55,0.85,0.72,0.0,1,0.598,2.72,3.09,8.4,0.023,1,8.21,False,False,Medium,False,Medium,"MEDIUM (8.2/25, L2.7 x I3.1); COMPLIANCE signal, corroborated, from vendor questionnaire (credibility 0.55); 1 independent kind(s) of source in 365d; 210d old (freshness 0.72); UBS link: industry (Credit bureau supplying data to financial institutions. No UBS relationship claimed); data sensitivity 5/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Failure to return an annual attestation indicates non-compliance with contractual or regulatory reporting requirements, posing a compliance risk."
I0174,V010,CrowdStrike Holdings,2025-08-05,incident_ticket,incident_ticket,,Phishing simulation across the CrowdStrike Holdings engagement showed click rates above the agreed threshold.,ILLUSTRATIVE,CONDUCT,risk,corroborated,0.98,True,"Phishing simulation results indicate elevated human risk exposure linked to the vendor's engagement, suggesting potential conduct-related vulnerabilities.",Endpoint security,USA,INDUSTRY,,Endpoint security vendor widely used in financial services. No UBS relationship claimed.,5,5,2,0.933,0.85,0.85,0.538,0.0,1,0.7,2.51,3.25,8.16,0.0,0,8.16,False,False,Medium,False,Medium,"MEDIUM (8.2/25, L2.5 x I3.2); CONDUCT signal, corroborated, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 413d old (freshness 0.54); UBS link: industry (Endpoint security vendor widely used in financial services. No UBS relationship claimed); data sensitivity 5/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Phishing simulation results indicate elevated human risk exposure linked to the vendor's engagement, suggesting potential conduct-related vulnerabilities."
I0176,V010,CrowdStrike Holdings,2025-11-27,vendor_questionnaire,vendor_questionnaire,,CrowdStrike Holdings sub-contracts part of core delivery to a single fourth-party operating from one region.,ILLUSTRATIVE,CONCENTRATION,risk,confirmed,0.98,True,Core delivery dependency on a single fourth-party in one region introduces significant concentration risk.,Endpoint security,USA,INDUSTRY,,Endpoint security vendor widely used in financial services. No UBS relationship claimed.,5,5,2,0.933,0.55,1.0,0.632,0.5,2,0.739,2.87,2.76,7.92,0.0,0,7.92,False,False,Medium,False,Medium,"MEDIUM (7.9/25, L2.9 x I2.8); CONCENTRATION signal, confirmed, from vendor questionnaire (credibility 0.55); 2 independent kind(s) of source in 365d; 299d old (freshness 0.63); UBS link: industry (Endpoint security vendor widely used in financial services. No UBS relationship claimed); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Core delivery dependency on a single fourth-party in one region introduces significant concentration risk."
I0128,V006,BlackRock,2026-03-01,audit_finding,audit_finding,,"Engagement review noted key-person dependency at BlackRock, with a single named individual covering the critical integration.",ILLUSTRATIVE,OPERATIONAL,risk,corroborated,0.98,True,Key-person dependency identified in an audit finding indicates operational risk due to potential single point of failure.,Portfolio & risk platform,USA,REPORTED,https://www.swissinfo.ch/eng/ubs-ditches-blackrocks-aladdin-platform-to-cut-fund-unit-costs/89728633,UBS reported to have terminated the Aladdin contract in 2025 (press reporting).,4,4,3,0.733,0.95,0.85,0.726,0.0,1,0.734,3.13,2.76,8.64,0.105,3,7.73,False,False,Medium,False,Medium,"MEDIUM (7.7/25, L3.1 x I2.8); OPERATIONAL signal, corroborated, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 205d old (freshness 0.73); UBS link: reported (UBS reported to have terminated the Aladdin contract in 2025 (press reporting)); 3 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Key-person dependency identified in an audit finding indicates operational risk due to potential single point of failure."
I0143,V007,SIX Group,2025-07-29,incident_ticket,incident_ticket,,Service review with SIX Group logged a major outage of 6h20m affecting the shared platform; downtime breached the contractual SLA for the third time this quarter.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,1.0,True,Major outage breaching SLA multiple times indicates operational reliability issues.,Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3,2,0.667,0.85,1.0,0.533,0.0,1,0.747,2.59,3.25,8.42,0.085,2,7.7,False,False,Medium,False,Medium,"MEDIUM (7.7/25, L2.6 x I3.2); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 420d old (freshness 0.53); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); hard to replace (substitutability 2/5); 2 positive signal(s) cut risk by 8%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Major outage breaching SLA multiple times indicates operational reliability issues."
R0060,V012,Infosys,2023-11-03,incident_ticket,Infosys McCamish incident,https://www.tipranks.com/news/the-fly/list-of-victims-breached-in-moveit-hack-keeps-climbing-bank-info-security-says,"The LockBit ransomware group attacked Infosys McCamish Systems, a US-based subsidiary of Infosys providing services to insurance and financial clients.",REAL,CYBER,risk,confirmed,0.98,True,Confirmed ransomware attack on a subsidiary (Infosys McCamish) with direct implications for cybersecurity risk exposure.,IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3,4,0.6,0.85,1.0,0.265,0.5,2,0.844,1.89,4.04,7.64,0.0,0,7.64,False,False,Medium,False,Medium,"MEDIUM (7.6/25, L1.9 x I4.0); CYBER signal, confirmed, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 1054d old (freshness 0.27); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; classifier: Confirmed ransomware attack on a subsidiary (Infosys McCamish) with direct implications for cybersecurity risk exposure."
I0167,V009,Capita plc,2025-03-16,audit_finding,audit_finding,,Review of systems in scope for Capita plc identified unpatched end-of-life software on internet-facing hosts.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,Unpatched end-of-life software on internet-facing hosts indicates a confirmed cybersecurity risk exposure.,Business process outsourcing,UK,INDUSTRY,,Large UK outsourcer serving financial services. No UBS relationship claimed.,5,3,3,0.733,0.95,1.0,0.446,0.0,1,0.78,2.39,3.25,7.77,0.018,1,7.63,False,False,Medium,False,Medium,"MEDIUM (7.6/25, L2.4 x I3.2); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 555d old (freshness 0.45); UBS link: industry (Large UK outsourcer serving financial services. No UBS relationship claimed); data sensitivity 5/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a confirmed cybersecurity risk exposure."
R0051,V009,Capita plc,2025-10-16,market_data,ICO enforcement,https://measuredcollective.com/ico-enforcement-in-2025-record-fines-and-what-they-mean/,"The GBP 14 million ICO settlement added to financial pressure on Capita plc, which had already absorbed remediation costs from the 2023 breach.",REAL,COMPLIANCE,risk,confirmed,0.98,True,ICO enforcement action and associated financial penalties indicate regulatory compliance failures and heightened risk exposure.,Business process outsourcing,UK,INDUSTRY,,Large UK outsourcer serving financial services. No UBS relationship claimed.,5,3,3,0.733,0.7,1.0,0.595,0.5,2,0.792,2.88,2.92,8.41,0.094,2,7.62,False,False,Medium,False,Medium,"MEDIUM (7.6/25, L2.9 x I2.9); COMPLIANCE signal, confirmed, from market data (credibility 0.70); 2 independent kind(s) of source in 365d; 341d old (freshness 0.59); UBS link: industry (Large UK outsourcer serving financial services. No UBS relationship claimed); data sensitivity 5/5; 2 positive signal(s) cut risk by 9%; classifier: ICO enforcement action and associated financial penalties indicate regulatory compliance failures and heightened risk exposure."
I0138,V006,BlackRock,2025-12-17,audit_finding,audit_finding,,Internal review found BlackRock has no tested disaster recovery plan for the service provided under this engagement; the last failover test failed.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,1.0,True,"Internal audit finding confirms a failed disaster recovery failover test, indicating operational risk due to lack of tested DR plan.",Portfolio & risk platform,USA,REPORTED,https://www.swissinfo.ch/eng/ubs-ditches-blackrocks-aladdin-platform-to-cut-fund-unit-costs/89728633,UBS reported to have terminated the Aladdin contract in 2025 (press reporting).,4,4,3,0.733,0.95,1.0,0.65,0.0,1,0.782,3.04,2.76,8.39,0.105,3,7.51,False,False,Medium,False,Medium,"MEDIUM (7.5/25, L3.0 x I2.8); OPERATIONAL signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 279d old (freshness 0.65); UBS link: reported (UBS reported to have terminated the Aladdin contract in 2025 (press reporting)); 3 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Internal audit finding confirms a failed disaster recovery failover test, indicating operational risk due to lack of tested DR plan."
